SentimentDevice,SalesDevice
DELL ALIENWARE M17 R5 17,ALIENWARE
ASUS L510 15,ASUS L SERIES
ASUS L210 11,ASUS L SERIES
LENOVO IDEAPAD 1 15,IDEAPAD 1
SAMSUNG GALAXY BOOK3 16,GALAXY BOOK
ASUS ROG STRIX G15  15,ROG STRIX
MSI GAMING 15,UNDEFINED
ACER PREDATOR HELIOS NEO 16,PREDATOR
LG GRAM 15,GRAM
ASUS VIVOBOOK PRO 16,VIVOBOOK PRO
HP ENVY X360  15,ENVY X360
ASUS VIVOBOOK  16,VIVOBOOK
HP OMEN  15,OMEN
DELL ALIENWARE M18 18,ALIENWARE
DELL ALIENWARE M16 16,ALIENWARE
DELL INSPIRON 3000  15,INSPIRON 3000
ASUS VIVOBOOK GO 14,VIVOBOOK
HP LAPTOP 17T 17,HP LAPTOP 17
LENOVO SLIMPRO 9I 14,SLIM PRO 9
MICROSOFT SURFACE PRO 9 13,SURFACE PRO
ACER PREDATOR HELIOS 16,PREDATOR
LENOVO IDEAPAD FLEX 5  14,IDEAPAD FLEX
HP LAPTOP  15,HP LAPTOP 15
HP LAPTOP  17,HP LAPTOP 17
ASUS ROG FLOW X13 13,ROG FLOW
ASUS TUF DASH 15,TUF
ASUS ROG ZEPHYRUS M16 16,ROG ZEPHYRUS
ASUS ROG STRIX SCAR 15,ROG STRIX
ASUS TUF GAMING F17 17,TUF
DELL INSPIRON 15 3000,INSPIRON 3000
MICROSOFT SURFACE LAPTOP 4 13,SURFACE LAPTOP
MICROSOFT SURFACE LAPTOP 4 15,SURFACE LAPTOP
DELL XPS PLUS 13,XPS
ASUS ROG 16,ROG
MSI BRAVO 15,BRAVO
DELL INSPIRON 7000 14 PLUS,INSPIRON PLUS
ACER PREDATOR HELIOS 18,PREDATOR
HP ELITEBOOOK G7 14,ELITE
LENOVO YOGA 7I 16,YOGA 7
DELL ALIENWARE X16 16,ALIENWARE
LENOVO IDEAPAD 1  14,IDEAPAD 1
ASUS VIVOBOOK GO 12,VIVOBOOK
HP STREAM  14,HP STREAM
HP STREAM  17,HP STREAM
MICROSOFT SURFACE LAPTOP 5 15,SURFACE LAPTOP
SAMSUNG GALAXY BOOK 3 360 15,GALAXY BOOK
ASUS ROG FLOW X13,ROG FLOW
LENOVO WEI 9 PRO  16,UNDEFINED
SAMSUNG GALAXY BOOK 3 360 13,GALAXY BOOK
ACER ASPIRE VERO 15,ASPIRE VERO
MICROSOFT SURFACE GO 13,SURFACE GO
MICROSOFT SURFACE LAPTOP STUDIO2 13,SURFACE LAPTOP
MICROSOFT SURFACE GO LAPTOP 3 12,SURFACE GO
HP ENVY DESKTOP,ENVY
LENOVO IDEAPAD 3I 14,IDEAPAD 3
ASUS VIVOBOOK GO 15,VIVOBOOK
LENOVO LOQ 15,LOQ
ASUS VIVOBOOK PRO  16,VIVOBOOK PRO
LENOVO LEGION 5  14,LEGION
DELL ALIENWARE  16,ALIENWARE
DELL INSPIRON 5000  16,INSPIRON 5000
SAMSUNG GALAXY BOOK 2 PRO 13,GALAXY BOOK
ASUS TUF GAMING A 17,TUF
ASUS ROG STRIX SCAR 18,ROG STRIX
SAMSUNG GALAXY BOOK3 15,GALAXY BOOK
LENOVO IDEAPAD 3  15,IDEAPAD 3
ASUS ROG STRIX G16 16,ROG STRIX
MSI SWORD 15,SWORD
LENOVO IDEAPAD  15,IDEAPAD
ASUS TUF GAMING A15  15,TUF
LENOVO LEGION PRO 7I 16,LEGION
ASUS VIVOBOOK  14,VIVOBOOK
ASUS ROG STRIX G16   16,ROG STRIX
LENOVO LEGION SLIM 5 16,SLIM 5
ASUS ZENBOOK 14X 14,ZENBOOK
SAMSUNG GALAXY BOOK3 360 15,GALAXY BOOK
MSI GF63 THIN 15,THIN
ASUS BR1100 11,ASUS B SERIES
LENOVO WEI 5 PRO  15,UNDEFINED
HP SPECTRE 17,SPECTRE
ASUS ROG FLOW Z13 13,ROG FLOW
LENOVO YOGA 9I 13,YOGA 9
ASUS VIVOBOOK FLIP 16,VIVOBOOK FLIP
MSI RAIDER 17,RAIDER
LENOVO WEI 7 PRO  14,UNDEFINED
MSI CREATOR M 16,CREATOR
SAMSUNG GALAXY BOOK 2 PRO 15,GALAXY BOOK
RAZER BLADE 14,RAZER BLADE
MICROSOFT SURFACE GO 3 10,SURFACE GO
SAMSUNG GALAXY BOOK 2 PRO 360 15,GALAXY BOOK
MSI GV15 15,V15
MICROSOFT SURFACE PRO 8 13,SURFACE PRO
MICROSOFT SURFACE LAPTOP STUDIO 14,SURFACE LAPTOP
MICROSOFT SURFACE PRO 7 PLUS 12,SURFACE PRO
MICROSOFT SURFACE LAPTOP GO 2 12,SURFACE LAPTOP
MICROSOFT SURFACE LAPTOP 5 13,SURFACE LAPTOP
SAMUSNG GALAXY BOOK 3 PRO 14,GALAXY BOOK
SAMSUNG GALAXY BOOK3 ULTRA 16,GALAXY BOOK
SAMSUNG GALAXY BOOK3 PRO 16,GALAXY BOOK
HP SPECTRE X360 16,SPECTRE
HP ENVY  17,ENVY
LENOVO 300W 3 11,LENOVO 300 SERIES
LENOVO YOGA BOOK 9,YOGA 9
LENOVO SLIM PRO 14,SLIM PRO 1
LENOVO YOGA 7 16,YOGA 7
HP ENVY 2,ENVY
LENOVO FLEX 5 14,FLEX
ASUS ROG FLOW X16 16,ROG FLOW
LENOVO IDEAPAD FLEX 5 16,IDEAPAD FLEX
LENOVO SLIM 7I 16,SLIM 7
LENOVO IDEAPAD 16,IDEAPAD 16
ASUS ROG GAMING 14,ROG
ASUS VIVOBOOK PRO 16X 16,VIVOBOOK PRO
LENOVO IDEAPAD 5I 15,IDEAPAD 5
LENOVO IDEAPAD 1I 14,IDEAPAD 1
HP ENVY 17T 17,ENVY
ACER NITRO 5 15,NITRO
ASUS ROG ZEPHYRUS G14  14,ROG ZEPHYRUS
DELL INSPIRON 7000 2-IN-1 16,INSPIRON 7000
LENOVO THINKPAD P17 17,THINKPAD P
ASUS TUF GAMING A16 16,TUF
ASUS ROG ZEPHYRUS 16,ROG ZEPHYRUS
ASUS ROG STRIX G17  17,ROG STRIX
DELL INSPIRON 5620 DESKTOP,INSPIRON 5000
LENOVO IDEAPAD 5I PRO 16,IDEAPAD PRO 5
ASUS VIVOBOOK PRO 15X 15,VIVOBOOK PRO
ASUS ZENBOOK PRO 17,ZENBOOK
ASUS VIVOBOOK PRO 15X,VIVOBOOK PRO
LENOVO YOGA SLIM 7 16,YOGA SLIM 7
LENOVO SLIM 7 PRO 14,SLIM PRO 7
ASUS ZENBOOK PRO DUO 14,ZENBOOK
LG GRAM 17Z95P,GRAM
HP SPECTRE X360 14,SPECTRE
ASUS ROG STRIX 18,ROG STRIX
MSI STEALTH 17,STEALTH
MSI STEALTH 16,STEALTH
HP OMEN GAMING LAPTOP,OMEN
ALIENWARE M16 16,ALIENWARE
ALIENWARE M18 18,ALIENWARE
RAZER BLADE 16,RAZER BLADE
