SentimentDevice,SalesDevice
LENOVO LAPTOP 16,LENOVO W
LENOVO IDEACENTRE AIO 3I 24,LENOVO W
LENOVO LAPTOP 15,LENOVO W
LENOVO IDEACENTER 3I AIO 21.5,LENOVO W
LENOVO IDEACENTER 3I AIO 23.8 ,LENOVO W
LENOVO GAMING LAPTOP,LENOVO W
LENOVO IDEACENTRE,LENOVO W
LENOVO GAMING DESKTOP,LENOVO W
LENOVO X3 15,LENOVO V SERIES V110 15
LENOVO X MAX 14,LENOVO W
LENOVO IDEACENTER 510S DESKTOP,LENOVO W
LENOVO T4900 DESKTOP,LENOVO W
LENOVO LECOO DESKTOP,LENOVO W
LENOVO IDEACENTER 510 PRO DESKTOP,LENOVO W
LENOVO IDEACENTER M4000 DESKTOP,LENOVO W
LENOVO E41 14,LENOVO W
LENOVO TS80X DESKTOP,LENOVO W
LENOVO EC DESKTOP,LENOVO W
LENOVO CO DESKTOP,LENOVO W
LENOVO IDEACENTER M455 DESKTOP,LENOVO W
LENOVO IDEACENTER M460 DESKTOP,LENOVO W
LENOVO IDEACENTER DESKTOP,LENOVO W
LENOVO IDEACENTER 14,LENOVO W
LENOVO K14 14,LENOVO W
LENOVO E41-50 14,LENOVO W
LENOVO K4E 14,LENOVO W
LENOVO M750E DESKTOP,LENOVO W
LENOVO 520 AIO 23,LENOVO W
LENOVO IDEACENTER AIO 23,LENOVO W
LENOVO 520 AIO 21,LENOVO W
LENOVO IDEACENTER 3 AIO 23.8,LENOVO W
LENOVO D330 10,LENOVO W
LENOVO IDEACENTER AIO 24,LENOVO W
LENOVO IDEACENTRE 3,LENOVO W
LENOVO IDEACENTRE 5I,LENOVO W
LENOVO IDEACENTRE A540 24,LENOVO W
LENOVO IDEACENTRE AIO 21,LENOVO W
LENOVO DUET 3I 10,LENOVO W
LENOVO IDEACENTRE 5 DESKTOP,LENOVO W
LENOVO QUAD TURBO 14,LENOVO W
LENOVO IDEACENTER AIO 27,LENOVO W
LENOVO IDEACENTRE AIO A340 22,LENOVO W
LENOVO IDEACENTER AIO 21,LENOVO W
LENOVO IDEACENTRE AIO 3 24,LENOVO W
LENOVO DESKTOP,LENOVO W
LENOVO IDEACENTER 15,LENOVO W
LENOVO M437 DESKTOP,LENOVO W
LENOVO IDEACENTER 512 DESKTOP,LENOVO W
LENOVO M420 DESKTOP,LENOVO W
LENOVO M455 DESKTOP,LENOVO W
LENOVO AIO 27,LENOVO W
LENOVO THINKSERVER DESKTOP,LENOVO W
LENOVO M73,LENOVO W
LENOVO LAPTOP 17,LENOVO W
LENOVO LAPTOP,LENOVO W
LENOVO LAPTOP 14 14,LENOVO W
LENOVO LAPTOP 6 15,LENOVO W
LENOVO IDEACENTRE AIO 5,LENOVO W
LENOVO IDEACENTRE AIO 24,LENOVO W
LENOVO IDEACENTRE 520C AIO 27,LENOVO W
LENOVO IDEACENTRE 520 AIO 24,LENOVO W
LENOVO IDEACENTRE 520 AIO 27,LENOVO W
LENOVO LECOO AIO 24,LENOVO W
LENOVO THINKSTATION P350 DESKTOP,LENOVO W
LENOVO SERVER TS80X DESKTOP,LENOVO W
LENOVO SERVER ST58 DESKTOP,LENOVO W
LENOVO SERVER ST50 DESKTOP,LENOVO W
LENOVO THINKSTATION P330 DESKTOP,LENOVO W
LENOVO THINKSTATION P340 DESKTOP,LENOVO W
LENOVO THINKSERVER TS80X DESKTOP,LENOVO W
